,job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,Employee_type,gender,age,marital_status_maried(Y/N),number_of_dependences,Education_level,GPA,year_graduated,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Last_achievement_%,Achievement_above_100%_during3quartal,Best Performance,total leave,age2,age3,year_graduated2,total_rotation,in study,person level up,sick_vs_leaves,age when graduated,age when graduated2,age per dependencies,age married male,papa muda,papa muda per tanggungan,job_level_oh,person_level_oh
0,JG04,1.3527749258468702,PG03,1.3527749258468702,1.73205080756888,RM_type_A,2,1985,Y,1,level_0,0.0,2011,4,2,3,2,3,0,46.37,0.0,0,3,ambis,2,new,7,finish,stay,leave,26,0,17.5,0,0,0.0,JG04,PG03
1,JG04,1.29228479833201,PG03,1.29228479833201,1.0392304845413298,RM_type_A,2,1989,Y,0,level_1,0.0,2007,4,4,3,0,0,1,47.68,0.0,0,1,ambis,2,new,7,finish,stay,sick,18,0,31.0,0,0,0.0,JG04,PG03
2,JG05,2.5651510676761298,PG06,2.30867927612304,1.78044938147649,RM_type_C,1,1970,Y,1,level_1,0.0,1989,28,10,9,6,2,1,40.73,0.0,0,3,non-ambis,4,old,25,finish,up,leave,19,0,25.0,50,0,0.0,JG05,PG06
3,JG05,2.82842712474619,PG06,1.0,1.3856406460551,RM_type_A,2,1967,Y,2,level_1,0.0,1987,29,11,6,0,4,10,47.42,0.0,1,14,non-ambis,4,old,17,finish,up,sick,20,0,17.666666666666668,0,0,0.0,JG05,PG06
4,JG05,2.82842712474619,PG06,2.82842712474619,0.707106781186548,RM_type_A,2,1965,Y,3,level_1,0.0,1985,30,9,8,2,3,0,47.18,0.0,0,3,non-ambis,4,old,19,finish,stay,leave,20,0,13.75,0,0,0.0,JG05,PG06
5,JG05,2.82842712474619,PG06,2.12132034355964,1.1180339887498998,RM_type_A,1,1971,Y,3,level_1,0.0,1990,28,7,9,4,0,0,48.46,0.0,0,0,non-ambis,4,old,20,finish,up,sama,19,0,12.25,49,0,0.0,JG05,PG06
6,JG05,2.82842712474619,PG06,2.34520787991171,2.10237960416286,RM_type_A,1,1969,Y,2,level_1,0.0,1988,29,8,6,2,8,0,60.38,0.0,0,8,non-ambis,4,old,16,finish,up,leave,19,0,17.0,51,0,0.0,JG05,PG06
7,JG05,2.82842712474619,PG06,2.23606797749979,1.58113883008419,RM_type_C,2,1968,Y,2,level_1,0.0,1987,29,6,8,1,3,4,14.71,0.0,0,7,non-ambis,4,old,15,finish,up,sick,19,0,17.333333333333332,0,0,0.0,JG05,PG06
8,JG04,1.1180339887498998,PG03,1.1180339887498998,0.412310562561766,RM_type_B,1,1989,Y,0,level_1,0.0,2007,3,2,2,0,9,0,26.76,0.0,0,9,ambis,2,new,4,finish,stay,leave,18,0,31.0,31,31,31.0,JG04,PG03
9,JG04,1.1180339887498998,PG03,1.1180339887498998,0.412310562561766,RM_type_B,2,1991,N,0,level_1,0.0,2009,3,2,2,0,3,0,41.45,0.0,1,3,ambis,2,new,4,finish,stay,leave,18,0,29.0,0,0,0.0,JG04,PG03
